response_id,timepoint,sad,pos,rum,condition
R_A0s212hsBnPyrL3,postinduction,19,7,4.833333333333333,self
R_A0s212hsBnPyrL3,postlistening,11,7,4.833333333333333,self
R_SDbPgnspNu353y1,baseline,8,10,3.8333333333333335,self
R_SDbPgnspNu353y1,postinduction,28,8,3.8333333333333335,self
R_SDbPgnspNu353y1,postlistening,17,5,3.8333333333333335,self
R_11gVnKIm8ZMHa1M,baseline,34,9,3.5833333333333335,sad
R_11gVnKIm8ZMHa1M,postinduction,35,8,3.5833333333333335,sad
R_11gVnKIm8ZMHa1M,postlistening,38,8,3.5833333333333335,sad
R_2wFC9AzNwElB3Ps,baseline,8,5,3.3333333333333335,control
R_2wFC9AzNwElB3Ps,postinduction,14,5,3.3333333333333335,control
R_2wFC9AzNwElB3Ps,postlistening,8,5,3.3333333333333335,control
R_3NCYwQgZB6DTMGa,baseline,8,14,NaN,sad
R_3NCYwQgZB6DTMGa,postinduction,13,8,NaN,sad
R_3NCYwQgZB6DTMGa,postlistening,16,NA,NaN,sad
R_xc0yHDaTrm6AVI5,baseline,15,11,2.1666666666666665,sad
R_xc0yHDaTrm6AVI5,postinduction,18,14,2.1666666666666665,sad
R_xc0yHDaTrm6AVI5,postlistening,13,13,2.1666666666666665,sad
R_33s5CfSYy13eoG2,baseline,9,7,NaN,self
R_33s5CfSYy13eoG2,postinduction,11,8,NaN,self
R_33s5CfSYy13eoG2,postlistening,NA,NA,NaN,self
