ID,song_artist,valence,energy,artist_rtn,song_rtn
357,Wicked Games_The Weeknd,0.326,0.591,The Weeknd,Wicked Games
358,Pink Bullets_The Shins,0.41,0.335,The Shins,Pink Bullets
359,Yellow_Coldplay,0.285,0.661,Coldplay,Yellow
360,Rich & Sad_Post Malone,0.285,0.571,Post Malone,Rich & Sad
361,Arose_Eminem,0.547,0.906,Eminem,Arose
362,Somebody Else_The 1975,0.472,0.788,The 1975,Somebody Else
363,Malibu_Miley Cyrus,0.343,0.781,Miley Cyrus,Malibu
364,Remedy_Adele,0.251,0.305,Adele,Remedy
365,She Will Be Loved - Radio Mix_Maroon 5,0.465,0.663,Maroon 5,She Will Be Loved - Radio Mix
366,Dancing On My Own_Calum Scott,0.236,0.173,Calum Scott,Dancing On My Own
367,Textin' My Ex_T-Pain,0.109,0.546,T-Pain,Textin' My Ex
368,Smother_Daughter,0.112,0.139,Daughter,Smother
369,Hurt_Johnny Cash,0.163,0.392,Johnny Cash,Hurt
370,Stop Crying Your Heart Out_Oasis,0.083,0.566,Oasis,Stop Crying Your Heart Out
372,Married Life_Michael Giacchino,0.112,0.0675,Michael Giacchino,Married Life
374,Jealous_Labrinth,0.0935,0.155,Labrinth,Jealous
376,Wings_Birdy,0.224,0.707,Birdy,Wings
