song_artist,word_count,sad_count,pos_count,neg_count,sad_total_ratio,neg_pos_ratio,sad_pos_ratio,bias,ID,valence,energy,artist_rtn,song_rtn
I Forget Where We Were_Ben Howard,76,1,20,13,0,9e-4,0,Positive,225,0.181,0.462,Ben Howard,I Forget Where We Were
Gnossienne No. 1 (Lent)_Erik Satie,1,0,0,0,0.3679,1,1,Equal,226,0.164,0.00631,Erik Satie,Gnossienne No. 1 (Lent)
Songbird - 2004 Remaster_Fleetwood Mac,1,0,0,0,0.3679,1,1,Equal,227,0.364,0.0851,Fleetwood Mac,Songbird - 2004 Remaster
Skinny Love_Birdy,232,24,44,40,0,0.0183,0,Positive,228,0.169,0.29,Birdy,Skinny Love
Live Forever - Remastered_Oasis,1,0,0,0,0.3679,1,1,Equal,229,0.179,0.794,Oasis,Live Forever - Remastered
Street Spirit (Fade Out)_Radiohead,43,2,6,10,0,54.5982,0.0183,Negative,231,0.129,0.453,Radiohead,Street Spirit (Fade Out)
Hallelujah_Jeff Buckley,105,6,16,9,0,9e-4,0,Positive,232,0.0828,0.136,Jeff Buckley,Hallelujah
Fight Song_Rachel Platten,119,2,5,17,0,162754.7914,0.0498,Negative,233,0.33,0.714,Rachel Platten,Fight Song
Ain't Nothing Changed_Loyle Carner,175,10,14,19,0,148.4132,0.0183,Negative,234,0.149,0.663,Loyle Carner,Ain't Nothing Changed
The One That Got Away_Katy Perry,68,5,6,4,0,0.1353,0.3679,Positive,236,0.864,0.792,Katy Perry,The One That Got Away
Mad World (Feat. Michael Andrews)_Gary Jules,6,0,0,0,0.0025,1,1,Equal,237,0.304,0.0581,Gary Jules,Mad World (Feat. Michael Andrews)
Jesus Christ_Brand New,71,7,8,8,0,1,0.3679,Equal,238,0.263,0.733,Brand New,Jesus Christ
"When the Night Is Long (From ""Final Space"")_Final Space",1,0,0,0,0.3679,1,1,Equal,239,0.208,0.0927,Final Space,"When the Night Is Long (From ""Final Space"")"
9 Crimes_Damien Rice,58,2,0,24,0,26489122129.8435,7.3891,Negative,240,0.0995,0.167,Damien Rice,9 Crimes
